iter	Passed	Remaining
921	2984	252
922	2987	249
923	2991	246
924	2994	242
925	2996	239
926	2999	236
927	3002	232
928	3006	229
929	3009	226
930	3012	223
931	3015	219
932	3017	216
933	3021	213
934	3023	210
935	3026	206
936	3029	203
937	3032	200
938	3036	197
939	3039	194
940	3042	190
941	3045	187
942	3047	184
943	3051	181
944	3054	177
945	3057	174
946	3060	171
947	3063	168
948	3066	164
949	3069	161
950	3072	158
951	3074	155
952	3077	151
953	3081	148
954	3084	145
955	3087	142
956	3090	138
957	3093	135
958	3095	132
959	3099	129
960	3101	125
961	3104	122
962	3107	119
963	3110	116
964	3113	112
965	3116	109
966	3119	106
967	3122	103
968	3124	99
969	3128	96
970	3131	93
971	3133	90
972	3136	87
973	3139	83
974	3142	80
975	3145	77
976	3148	74
977	3151	70
978	3154	67
979	3158	64
980	3161	61
981	3163	57
982	3166	54
983	3169	51
984	3172	48
985	3176	45
986	3179	41
987	3183	38
988	3186	35
989	3191	32
990	3195	29
991	3198	25
992	3200	22
993	3204	19
994	3207	16
995	3209	12
996	3212	9
997	3215	6
998	3218	3
999	3221	0
